Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2018-01-02T01:42:00+00:00,,,52.789823,-0.147201,Male,25-34,Other ethnic group - Not stated,White,,Offensive weapons,A no further action disposal,True,False
Person search,2018-01-02T01:45:00+00:00,,,52.789823,-0.147201,Female,over 34,White - Any other White background,White,,Stolen goods,A no further action disposal,True,False
Person search,2018-01-02T09:00:00+00:00,,,52.981078,-0.035083,,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False
Person search,2018-01-02T15:27:00+00:00,,,53.229459,-0.546773,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Offensive weapons,A no further action disposal,,
Person search,2018-01-03T00:00:00+00:00,,,53.373304,0.225879,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person and Vehicle search,2018-01-03T00:00:00+00:00,,,53.373304,0.225879,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-03T00:00:00+00:00,,,53.373304,0.225879,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-03T15:21:00+00:00,,,53.407151,-0.777509,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,A no further action disposal,True,False
Person search,2018-01-03T15:21:00+00:00,,,53.407151,-0.777509,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,A no further action disposal,True,False
Person search,2018-01-03T15:21:00+00:00,,,53.407151,-0.777509,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,A no further action disposal,True,False
Person and Vehicle search,2018-01-04T16:45:00+00:00,,,52.915095,-0.644233,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False
Person search,2018-01-04T16:45:00+00:00,,,52.915095,-0.644233,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False
Person search,2018-01-04T16:50:00+00:00,,,52.915095,-0.644233,Female,18-24,Other ethnic group - Any other ethnic group,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False
Person search,2018-01-04T16:50:00+00:00,,,52.915095,-0.644233,Male,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False
Person search,2018-01-05T03:25:00+00:00,,,52.890071,-0.083306,,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-05T03:30:00+00:00,,,52.890071,-0.083306,,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-05T15:15:00+00:00,,,52.909819,-0.642762,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,True,False
Person search,2018-01-05T15:15:00+00:00,,,52.909819,-0.642762,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,True,False
Person search,2018-01-05T15:15:00+00:00,,,52.909819,-0.642762,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,True,False
Person search,2018-01-05T15:15:00+00:00,,,52.909819,-0.642762,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,True,False
Person and Vehicle search,2018-01-05T17:52:00+00:00,,,52.784576,-0.159584,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2018-01-05T17:59:00+00:00,,,52.985585,-0.041255,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2018-01-05T18:50:00+00:00,,,52.788429,-0.150063,,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-05T20:00:00+00:00,,,52.982018,-0.021872,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,2018-01-06T02:25:00+00:00,,,52.779103,-0.173707,Male,18-24,White - Any other White background,White,,Article for use in theft,A no further action disposal,True,False
Person and Vehicle search,2018-01-06T02:30:00+00:00,,,52.779103,-0.173707,Male,18-24,White - Any other White background,White,,Article for use in theft,A no further action disposal,True,False
Person search,2018-01-06T02:30:00+00:00,,,52.774142,-0.197932,Male,25-34,Other ethnic group - Not stated,White,,Article for use in theft,A no further action disposal,True,False
Person search,2018-01-06T02:40:00+00:00,,,52.769571,-0.210172,Male,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False
Person search,2018-01-06T02:45:00+00:00,,,52.780600,-0.171080,Male,over 34,White - Any other White background,White,,Article for use in theft,A no further action disposal,True,False
Person and Vehicle search,2018-01-06T02:55:00+00:00,,,53.346755,-0.303552,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,2018-01-06T17:10:00+00:00,,,53.224342,-0.555470,Male,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,,Stolen goods,A no further action disposal,True,False
Person search,2018-01-06T20:55:00+00:00,,,53.229435,-0.542535,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person and Vehicle search,2018-01-06T20:55:00+00:00,,,53.229435,-0.542535,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-06T21:25:00+00:00,,,53.141837,0.343575,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person and Vehicle search,2018-01-06T21:28:00+00:00,,,53.203579,-0.113770,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-06T21:28:00+00:00,,,53.203579,-0.113770,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person and Vehicle search,2018-01-06T21:31:00+00:00,,,53.203579,-0.113770,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person and Vehicle search,2018-01-06T21:37:00+00:00,,,53.203579,-0.113770,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
Person search,2018-01-06T21:40:00+00:00,,,53.203579,-0.113770,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False
